Flow_31,Flow_32,Flow_41,Flow_42,Flow_5,Speed_31,Speed_32,Speed_41,Speed_42,Speed_5,Y
64,22,3,1,0,86,82,86,61,0,0
50,16,3,0,0,90,90,86,0,0,0
82,30,5,1,2,90,82,86,82,77,0
64,23,5,1,1,86,86,86,86,79,0
97,35,5,3,3,86,86,86,82,81,0
95,33,5,3,2,90,90,90,82,79,0
139,61,7,9,11,90,86,84,77,75,0
140,51,5,4,11,82,79,82,64,64,0
68,24,5,7,8,86,86,82,79,75,0
41,21,1,0,0,100,100,97,0,0,0
1,0,0,0,0,7,0,0,0,0,0
39,21,0,4,4,57,57,0,54,57,0
64,24,4,6,11,86,86,84,79,79,0
16,4,0,2,4,84,84,0,82,79,0
28,9,1,5,2,79,79,72,72,73,0
124,42,6,13,20,90,86,86,79,79,0
139,62,6,17,23,86,86,86,79,86,0
100,42,3,15,17,79,79,79,75,75,0
123,51,3,14,23,43,43,39,43,43,0
88,37,2,10,24,54,54,55,57,57,0
89,39,5,13,29,36,36,36,39,39,0
226,74,7,15,20,82,81,72,79,82,0
207,66,7,15,28,57,57,43,64,66,0
220,75,13,21,26,90,86,86,82,82,0
206,59,15,16,28,86,86,79,82,82,0
192,64,13,14,15,72,68,68,64,64,0
309,114,13,24,17,68,68,64,64,61,0
109,36,4,1,0,82,79,77,72,0,0
219,55,15,9,13,90,88,82,82,79,0
90,27,0,1,0,90,86,0,86,0,0
294,100,11,17,16,46,43,46,43,46,0
154,55,8,15,15,79,79,72,70,64,0
165,65,8,13,10,90,86,79,79,79,0
168,63,8,14,14,93,90,86,84,82,0
147,60,8,9,7,75,75,68,68,68,0
188,77,6,21,16,93,90,86,86,86,0
196,81,4,19,9,86,86,82,79,79,0
196,78,5,20,15,72,68,68,68,68,0
200,88,5,20,8,93,90,90,86,86,0
187,70,5,21,17,68,68,64,61,61,0
10,6,0,0,0,72,72,0,0,0,0
10,3,0,1,1,72,72,0,68,64,0
200,81,4,25,11,82,82,82,79,79,0
11,10,0,1,1,82,82,0,72,14,0
1,0,0,0,0,75,0,0,0,0,0
12,8,1,4,4,3,3,3,3,3,0
230,86,7,29,21,50,50,46,46,46,0
254,105,7,30,14,68,68,64,64,61,0
13,6,0,1,2,0,0,0,0,0,0
164,62,4,23,20,79,79,72,72,72,0
113,49,3,27,19,79,75,72,68,72,0
59,20,2,0,0,75,72,64,0,0,0
165,79,4,27,11,82,79,75,72,75,0
134,59,3,26,16,57,54,54,50,50,0
42,16,0,0,0,57,52,0,0,0,0
121,47,3,15,16,86,82,72,79,75,0
137,57,4,16,10,90,86,79,82,81,0
146,58,2,24,16,93,90,82,86,82,0
174,77,4,31,15,93,86,84,82,82,0
91,33,2,14,10,93,90,79,84,82,0
108,51,4,24,11,93,90,88,82,82,0
111,34,2,20,11,93,93,93,86,86,0
123,55,3,24,14,97,93,86,86,82,0
114,42,6,0,0,93,93,88,0,0,0
207,64,10,19,9,90,93,86,86,86,0
199,67,8,20,13,90,90,82,82,82,0
219,77,8,19,13,82,82,79,79,79,0
189,62,10,19,12,82,82,79,79,75,0
178,65,7,22,12,90,90,90,86,82,0
175,59,6,22,14,90,86,82,82,79,0
138,52,6,12,6,43,43,41,39,39,0
147,49,8,14,12,93,91,90,82,81,0
166,49,6,15,3,100,97,90,93,88,0
16,5,0,1,1,64,61,0,55,61,0
94,34,2,14,9,79,79,72,73,75,0
127,45,7,10,7,97,97,93,91,90,0
51,21,1,5,4,97,93,90,90,84,0
5,4,0,0,0,77,43,0,0,0,0
166,53,6,11,5,100,97,93,93,86,0
153,49,9,11,11,100,97,93,91,88,0
168,50,6,12,4,100,97,91,82,86,0
148,48,12,15,10,100,97,93,93,90,0
174,55,8,13,4,100,97,93,90,86,0
144,51,9,12,10,104,100,93,93,93,0
173,61,8,13,7,100,100,91,90,82,0
157,49,9,11,10,104,100,93,93,91,0
184,49,5,17,5,100,97,93,90,86,0
153,57,9,13,8,100,97,90,86,77,0
199,55,7,17,3,100,100,97,90,86,0
162,63,6,14,5,104,100,93,93,86,0
171,48,10,17,4,86,82,79,81,79,0
0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,86,46,0,46,0,0
159,51,8,13,7,100,97,93,86,82,0
27,11,0,1,1,95,93,0,79,75,0
5,3,0,0,0,79,82,0,0,0,0
202,63,8,15,6,54,50,50,50,50,0
206,77,8,17,11,97,93,90,86,82,0
143,46,6,12,3,97,93,90,86,86,0
157,62,7,12,7,93,93,84,86,82,0
132,47,5,17,5,104,104,97,93,90,0
139,66,4,18,10,100,97,84,90,88,0
144,52,6,16,7,104,100,100,93,91,0
153,64,5,16,9,100,100,91,93,86,0
158,55,6,14,3,104,97,93,90,82,0
161,72,7,13,8,100,97,93,90,84,0
175,64,4,17,7,100,97,93,93,90,0
7,6,0,1,1,82,75,0,68,61,0
7,5,0,2,0,77,75,0,70,0,0
170,72,6,19,10,100,97,93,93,88,0
47,27,1,8,10,75,75,72,68,64,0
41,19,0,6,1,72,72,0,68,68,0
209,77,4,23,22,100,97,93,93,88,0
177,75,6,22,17,100,97,93,90,84,0
202,66,7,23,19,100,97,93,90,86,0
168,72,6,24,14,100,97,91,93,86,0
202,69,7,24,21,100,100,93,93,86,0
173,76,6,30,18,100,99,97,90,88,0
179,54,6,23,24,104,100,93,90,84,0
147,64,6,24,16,104,104,95,93,90,0
174,51,4,17,23,104,100,93,90,86,0
145,63,6,22,17,100,100,93,91,86,0
171,56,6,26,23,104,100,93,93,90,0
178,62,5,25,18,104,100,93,90,86,0
157,54,7,26,19,108,104,93,93,86,0
162,62,6,29,21,104,100,95,90,86,0
142,56,5,22,23,108,104,99,93,86,0
135,55,7,22,16,104,104,93,84,86,0
156,61,7,28,23,100,100,88,90,86,0
152,66,6,27,17,97,97,93,86,86,0
134,58,3,21,19,106,104,95,93,86,0
135,62,6,25,17,104,100,93,93,86,0
118,47,5,22,18,104,104,93,93,86,0
125,53,7,19,17,72,68,72,72,68,0
136,51,5,23,21,104,104,93,90,84,0
141,57,6,22,18,104,100,93,91,82,0
123,48,5,20,19,104,104,93,88,86,0
127,43,4,22,17,104,100,93,82,79,0
